Fit #1
pB (%),0.268,3.834
dwB (ppm),5.00,9.19
kexAB (s^-1),1000,21542
R1 (s^-1),2.50,3.27
R2 (s^-1),16.00,13.05
Red. Chi-sq,234.75
Fit #14
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.268,3.762
dwB (ppm),6.00,9.85
kexAB (s^-1),1000,19845
R1 (s^-1),2.50,3.24
R2 (s^-1),16.00,12.09
Red. Chi-sq,233.07
Fit #15
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.268,5.280
dwB (ppm),7.00,9.93
kexAB (s^-1),1000,26021
R1 (s^-1),2.50,3.25
R2 (s^-1),16.00,12.65
Red. Chi-sq,232.48
Fit #16
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.268,6.416
dwB (ppm),8.00,10.93
kexAB (s^-1),1000,29992
R1 (s^-1),2.50,3.20
R2 (s^-1),16.00,12.28
Red. Chi-sq,232.49
Fit #17
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.720,19.045
dwB (ppm),1.00,14.81
kexAB (s^-1),1000,25457
R1 (s^-1),2.50,3.24
R2 (s^-1),16.00,11.72
Red. Chi-sq,250.93
Fit #18
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.720,3.674
dwB (ppm),2.00,5.81
kexAB (s^-1),1000,9091
R1 (s^-1),2.50,3.26
R2 (s^-1),16.00,11.88
Red. Chi-sq,234.23
Fit #19
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.720,2.209
dwB (ppm),3.00,4.10
kexAB (s^-1),1000,5942
R1 (s^-1),2.50,3.17
R2 (s^-1),16.00,11.56
Red. Chi-sq,217.45
Fit #20
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.720,2.539
dwB (ppm),4.00,3.45
kexAB (s^-1),1000,6184
R1 (s^-1),2.50,3.09
R2 (s^-1),16.00,11.51
Red. Chi-sq,204.97
Fit #21
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.720,3.526
dwB (ppm),5.00,3.12
kexAB (s^-1),1000,7375
R1 (s^-1),2.50,2.99
R2 (s^-1),16.00,11.98
Red. Chi-sq,197.32
Fit #22
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.720,3.430
dwB (ppm),6.00,3.33
kexAB (s^-1),1000,6739
R1 (s^-1),2.50,2.94
R2 (s^-1),16.00,11.02
Red. Chi-sq,193.52
Fit #23
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.720,4.820
dwB (ppm),7.00,3.35
kexAB (s^-1),1000,8846
R1 (s^-1),2.50,2.95
R2 (s^-1),16.00,11.53
Red. Chi-sq,192.54
Fit #24
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.720,5.859
dwB (ppm),8.00,3.70
kexAB (s^-1),1000,10202
R1 (s^-1),2.50,2.91
R2 (s^-1),16.00,11.21
Red. Chi-sq,193.07
Fit #25
dG6C1p-mc Pars,Fit Value,Error
pB (%),1.931,18.432
dwB (ppm),1.00,5.30
kexAB (s^-1),1000,9335
R1 (s^-1),2.50,3.16
R2 (s^-1),16.00,11.43
Red. Chi-sq,238.66
Fit #26
dG6C1p-mc Pars,Fit Value,Error
pB (%),1.931,3.333
dwB (ppm),2.00,1.96
kexAB (s^-1),1000,3114
R1 (s^-1),2.50,2.99
R2 (s^-1),16.00,10.90
Red. Chi-sq,197.04
Fit #27
dG6C1p-mc Pars,Fit Value,Error
pB (%),1.931,1.869
dwB (ppm),3.00,1.28
kexAB (s^-1),1000,1879
R1 (s^-1),2.50,2.69
R2 (s^-1),16.00,9.83
Red. Chi-sq,157.20
Fit #28
dG6C1p-mc Pars,Fit Value,Error
pB (%),1.931,2.014
dwB (ppm),4.00,1.01
kexAB (s^-1),1000,1823
R1 (s^-1),2.50,2.45
R2 (s^-1),16.00,9.13
Red. Chi-sq,128.92
Fit #29
dG6C1p-mc Pars,Fit Value,Error
pB (%),1.931,2.695
dwB (ppm),5.00,0.87
kexAB (s^-1),1000,2094
R1 (s^-1),2.50,2.26
R2 (s^-1),16.00,9.12
Red. Chi-sq,113.44
Fit #30
dG6C1p-mc Pars,Fit Value,Error
pB (%),1.931,2.570
dwB (ppm),6.00,0.92
kexAB (s^-1),1000,1878
R1 (s^-1),2.50,2.19
R2 (s^-1),16.00,8.27
Red. Chi-sq,108.37
Fit #31
dG6C1p-mc Pars,Fit Value,Error
pB (%),1.931,3.674
dwB (ppm),7.00,0.93
kexAB (s^-1),1000,2507
R1 (s^-1),2.50,2.21
R2 (s^-1),16.00,8.76
Red. Chi-sq,110.09
Fit #32
dG6C1p-mc Pars,Fit Value,Error
pB (%),1.931,4.546
dwB (ppm),8.00,1.05
kexAB (s^-1),1000,2944
R1 (s^-1),2.50,2.23
R2 (s^-1),16.00,8.69
Red. Chi-sq,115.04
Fit #33
dG6C1p-mc Pars,Fit Value,Error
pB (%),5.179,16.939
dwB (ppm),1.00,1.78
kexAB (s^-1),1000,3337
R1 (s^-1),2.50,2.96
R2 (s^-1),16.00,10.70
Red. Chi-sq,209.40
Fit #34
dG6C1p-mc Pars,Fit Value,Error
pB (%),5.179,2.536
dwB (ppm),2.00,0.55
kexAB (s^-1),1000,914
R1 (s^-1),2.50,2.34
R2 (s^-1),16.00,8.55
Red. Chi-sq,120.76
Fit #35
dG6C1p-mc Pars,Fit Value,Error
pB (%),5.179,1.060
dwB (ppm),3.00,0.26
kexAB (s^-1),1000,399
R1 (s^-1),2.50,1.54
R2 (s^-1),16.00,5.64
Red. Chi-sq,51.80
Fit #36
dG6C1p-mc Pars,Fit Value,Error
pB (%),5.179,0.641
dwB (ppm),4.00,0.11
kexAB (s^-1),1000,214
R1 (s^-1),2.50,0.77
R2 (s^-1),16.00,2.90
Red. Chi-sq,13.05
Fit #37
dG6C1p-mc Pars,Fit Value,Error
pB (%),5.179,0.697
dwB (ppm),5.00,0.08
kexAB (s^-1),1000,200
R1 (s^-1),2.50,0.57
R2 (s^-1),16.00,2.34
Red. Chi-sq,7.28
Fit #38
dG6C1p-mc Pars,Fit Value,Error
pB (%),5.179,1.366
dwB (ppm),6.00,0.18
kexAB (s^-1),1000,370
R1 (s^-1),2.50,1.15
R2 (s^-1),16.00,4.42
Red. Chi-sq,30.45
Fit #39
dG6C1p-mc Pars,Fit Value,Error
pB (%),5.179,2.902
dwB (ppm),7.00,0.26
kexAB (s^-1),1000,733
R1 (s^-1),2.50,1.68
R2 (s^-1),16.00,6.87
Red. Chi-sq,65.99
Fit #40
dG6C1p-mc Pars,Fit Value,Error
pB (%),5.179,4.364
dwB (ppm),8.00,0.36
kexAB (s^-1),1000,1047
R1 (s^-1),2.50,2.09
R2 (s^-1),16.00,8.34
Red. Chi-sq,104.34
Fit #41
dG6C1p-mc Pars,Fit Value,Error
pB (%),13.895,14.047
dwB (ppm),1.00,0.51
kexAB (s^-1),1000,1144
R1 (s^-1),2.50,2.55
R2 (s^-1),16.00,9.19
Red. Chi-sq,155.42
Fit #42
dG6C1p-mc Pars,Fit Value,Error
pB (%),13.895,1.996
dwB (ppm),2.00,0.16
kexAB (s^-1),1000,294
R1 (s^-1),2.50,1.97
R2 (s^-1),16.00,7.23
Red. Chi-sq,85.74
Fit #43
dG6C1p-mc Pars,Fit Value,Error
pB (%),13.895,1.957
dwB (ppm),3.00,0.16
kexAB (s^-1),1000,274
R1 (s^-1),2.50,2.91
R2 (s^-1),16.00,10.66
Red. Chi-sq,185.70
Fit #44
dG6C1p-mc Pars,Fit Value,Error
pB (%),13.895,3.257
dwB (ppm),4.00,0.20
kexAB (s^-1),1000,392
R1 (s^-1),2.50,3.87
R2 (s^-1),16.00,14.77
Red. Chi-sq,339.32
Fit #45
dG6C1p-mc Pars,Fit Value,Error
pB (%),13.895,6.440
dwB (ppm),5.00,0.24
kexAB (s^-1),1000,667
R1 (s^-1),2.50,4.87
R2 (s^-1),16.00,21.35
Red. Chi-sq,565.21
Fit #46
dG6C1p-mc Pars,Fit Value,Error
pB (%),13.895,7.331
dwB (ppm),6.00,0.33
kexAB (s^-1),1000,725
R1 (s^-1),2.50,6.03
R2 (s^-1),16.00,24.42
Red. Chi-sq,888.56
Fit #47
dG6C1p-mc Pars,Fit Value,Error
pB (%),13.895,12.582
dwB (ppm),7.00,0.38
kexAB (s^-1),1000,1157
R1 (s^-1),2.50,6.94
R2 (s^-1),16.00,29.93
Red. Chi-sq,1194.97
Fit #48
dG6C1p-mc Pars,Fit Value,Error
pB (%),13.895,15.544
dwB (ppm),8.00,0.47
kexAB (s^-1),1000,1365
R1 (s^-1),2.50,7.84
R2 (s^-1),16.00,31.20
Red. Chi-sq,1472.61
Fit #49
dG6C1p-mc Pars,Fit Value,Error
pB (%),37.276,13.040
dwB (ppm),1.00,0.11
kexAB (s^-1),1000,498
R1 (s^-1),2.50,2.38
R2 (s^-1),16.00,8.50
Red. Chi-sq,135.70
Fit #50
dG6C1p-mc Pars,Fit Value,Error
pB (%),37.276,6.858
dwB (ppm),2.00,0.17
kexAB (s^-1),1000,429
R1 (s^-1),2.50,6.99
R2 (s^-1),16.00,25.39
Red. Chi-sq,1094.08
Fit #51
dG6C1p-mc Pars,Fit Value,Error
pB (%),37.276,8.570
dwB (ppm),3.00,0.19
kexAB (s^-1),1000,374
R1 (s^-1),2.50,12.74
R2 (s^-1),16.00,45.72
Red. Chi-sq,3593.85
Fit #52
dG6C1p-mc Pars,Fit Value,Error
pB (%),37.276,11.162
dwB (ppm),4.00,0.23
kexAB (s^-1),1000,414
R1 (s^-1),2.50,15.20
R2 (s^-1),16.00,58.12
Red. Chi-sq,5313.38
Fit #53
dG6C1p-mc Pars,Fit Value,Error
pB (%),37.276,17.524
dwB (ppm),5.00,0.26
kexAB (s^-1),1000,570
R1 (s^-1),2.50,17.18
R2 (s^-1),16.00,73.18
Red. Chi-sq,7046.72
Fit #54
dG6C1p-mc Pars,Fit Value,Error
pB (%),37.276,17.307
dwB (ppm),6.00,0.34
kexAB (s^-1),1000,558
R1 (s^-1),2.50,19.89
R2 (s^-1),16.00,84.14
Red. Chi-sq,9502.24
Fit #55
dG6C1p-mc Pars,Fit Value,Error
pB (%),37.276,9.872
dwB (ppm),7.00,0.37
kexAB (s^-1),1000,228
R1 (s^-1),2.50,0.72
R2 (s^-1),16.00,3.12
Red. Chi-sq,11413.07
Fit #56
dG6C1p-mc Pars,Fit Value,Error
pB (%),37.276,2.275
dwB (ppm),8.00,0.38
kexAB (s^-1),1000,49
R1 (s^-1),2.50,0.18
R2 (s^-1),16.00,0.79
Red. Chi-sq,13138.30
Fit #57
dG6C1p-mc Pars,Fit Value,Error
pB (%),100.000,4.514
dwB (ppm),1.00,79886.48
kexAB (s^-1),1000,80676003
R1 (s^-1),2.50,3.19
R2 (s^-1),16.00,8.33
Red. Chi-sq,258.58
Fit #58
dG6C1p-mc Pars,Fit Value,Error
pB (%),100.000,1.940
dwB (ppm),2.00,1.36
kexAB (s^-1),1000,60463859
R1 (s^-1),2.50,3.18
R2 (s^-1),16.00,10.62
Red. Chi-sq,251.30
Fit #59
dG6C1p-mc Pars,Fit Value,Error
pB (%),100.000,1.530
dwB (ppm),3.00,1.73
kexAB (s^-1),1000,73421378
R1 (s^-1),2.50,3.16
R2 (s^-1),16.00,12.87
Red. Chi-sq,246.38
Fit #60
dG6C1p-mc Pars,Fit Value,Error
pB (%),100.000,1.535
dwB (ppm),4.00,2.01
kexAB (s^-1),1000,70419198
R1 (s^-1),2.50,3.12
R2 (s^-1),16.00,15.51
Red. Chi-sq,243.77
Fit #61
dG6C1p-mc Pars,Fit Value,Error
pB (%),100.000,1.712
dwB (ppm),5.00,2.41
kexAB (s^-1),1000,68568322
R1 (s^-1),2.50,3.07
R2 (s^-1),16.00,18.68
Red. Chi-sq,243.94
Fit #62
dG6C1p-mc Pars,Fit Value,Error
pB (%),100.000,1.658
dwB (ppm),6.00,2.82
kexAB (s^-1),1000,73260257
R1 (s^-1),2.50,3.01
R2 (s^-1),16.00,19.95
Red. Chi-sq,244.35
Fit #63
dG6C1p-mc Pars,Fit Value,Error
pB (%),100.000,1.816
dwB (ppm),7.00,3.23
kexAB (s^-1),1000,56855426
R1 (s^-1),2.50,2.99
R2 (s^-1),16.00,22.62
Red. Chi-sq,244.28
Fit #64
dG6C1p-mc Pars,Fit Value,Error
pB (%),100.000,1.881
dwB (ppm),8.00,3.26
kexAB (s^-1),1000,58839824
R1 (s^-1),2.50,3.03
R2 (s^-1),16.00,24.09
Red. Chi-sq,244.83
Fit #65
dG6C1p-mc Pars,Fit Value,Error
pB (%),5.912,0.077
dwB (ppm),4.41,0.01
kexAB (s^-1),1120,25
R1 (s^-1),1.61,0.09
R2 (s^-1),13.25,0.38
Red. Chi-sq,0.19
